,case:concept:name,time:timestamp,concept:name,org:resource
0,ID000001,2023-05-03 17:01:31,C2,voice2
1,ID000001,2023-05-03 17:01:39,C2,voice2
2,ID000001,2023-05-03 17:01:47,D2,voice2
3,ID000001,2023-05-03 17:01:55,E2,voice2
4,ID000001,2023-05-03 17:02:03,A2,voice2
5,ID000001,2023-05-03 17:02:19,G2,voice2
6,ID000001,2023-05-03 17:02:27,E2,voice2
7,ID000002,2023-05-03 17:01:31,C2,voice3
8,ID000002,2023-05-03 17:01:39,E-2,voice3
9,ID000002,2023-05-03 17:02:03,C#2,voice3
10,ID000002,2023-05-03 17:02:11,F2,voice3
11,ID000002,2023-05-03 17:02:19,E-2,voice3
12,ID000002,2023-05-03 17:02:27,E-2,voice3
13,ID000003,2023-05-03 17:01:31,C2,voice4
14,ID000003,2023-05-03 17:01:39,C2,voice4
15,ID000003,2023-05-03 17:01:47,E2,voice4
16,ID000003,2023-05-03 17:01:55,F2,voice4
17,ID000003,2023-05-03 17:02:03,A2,voice4
18,ID000003,2023-05-03 17:02:19,G2,voice4
19,ID000003,2023-05-03 17:02:27,E2,voice4
20,ID000004,2023-05-03 17:01:31,C2,voice1
21,ID000004,2023-05-03 17:01:39,E-2,voice1
22,ID000004,2023-05-03 17:01:47,C#2,voice1
23,ID000004,2023-05-03 17:01:55,C#2,voice1
24,ID000004,2023-05-03 17:02:03,B-1,voice1
25,ID000004,2023-05-03 17:02:19,rest,voice1
26,ID000004,2023-05-03 17:02:27,rest,voice1
27,ID000005,2023-05-03 17:02:35,C2,voice2
28,ID000005,2023-05-03 17:02:47,G2,voice2
29,ID000005,2023-05-03 17:02:51,G2,voice2
30,ID000005,2023-05-03 17:02:59,A2,voice2
31,ID000005,2023-05-03 17:03:07,G2,voice2
32,ID000005,2023-05-03 17:03:23,E2,voice2
33,ID000005,2023-05-03 17:03:31,rest,voice2
34,ID000006,2023-05-03 17:02:35,C2,voice3
35,ID000006,2023-05-03 17:02:43,C2,voice3
36,ID000006,2023-05-03 17:02:51,C2,voice3
37,ID000006,2023-05-03 17:02:59,D2,voice3
38,ID000006,2023-05-03 17:03:07,C2,voice3
39,ID000006,2023-05-03 17:03:23,B-1,voice3
40,ID000006,2023-05-03 17:03:31,rest,voice3
41,ID000007,2023-05-03 17:02:35,C2,voice4
42,ID000007,2023-05-03 17:02:43,C2,voice4
43,ID000007,2023-05-03 17:02:51,C2,voice4
44,ID000007,2023-05-03 17:02:59,D2,voice4
45,ID000007,2023-05-03 17:03:07,C2,voice4
46,ID000007,2023-05-03 17:03:11,E2,voice4
47,ID000007,2023-05-03 17:03:15,E2,voice4
48,ID000007,2023-05-03 17:03:23,E2,voice4
49,ID000007,2023-05-03 17:03:31,rest,voice4
50,ID000008,2023-05-03 17:02:35,C2,voice1
51,ID000008,2023-05-03 17:02:43,C2,voice1
52,ID000008,2023-05-03 17:02:51,C2,voice1
53,ID000008,2023-05-03 17:02:59,D2,voice1
54,ID000008,2023-05-03 17:03:07,C2,voice1
55,ID000008,2023-05-03 17:03:11,F2,voice1
56,ID000008,2023-05-03 17:03:15,F2,voice1
57,ID000008,2023-05-03 17:03:23,F2,voice1
58,ID000008,2023-05-03 17:03:31,rest,voice1
59,ID000009,2023-05-03 17:03:39,C2,voice2
60,ID000009,2023-05-03 17:03:47,C2,voice2
61,ID000009,2023-05-03 17:03:55,C2,voice2
62,ID000009,2023-05-03 17:04:03,D2,voice2
63,ID000009,2023-05-03 17:04:11,C2,voice2
64,ID000009,2023-05-03 17:04:27,A1,voice2
65,ID000009,2023-05-03 17:04:35,rest,voice2
66,ID000010,2023-05-03 17:03:39,C2,voice3
67,ID000010,2023-05-03 17:03:47,C2,voice3
68,ID000010,2023-05-03 17:03:55,C2,voice3
69,ID000010,2023-05-03 17:04:03,D2,voice3
70,ID000010,2023-05-03 17:04:07,E2,voice3
71,ID000010,2023-05-03 17:04:11,E2,voice3
72,ID000010,2023-05-03 17:04:27,F2,voice3
73,ID000010,2023-05-03 17:04:35,rest,voice3
74,ID000011,2023-05-03 17:03:39,C2,voice4
75,ID000011,2023-05-03 17:03:47,E-2,voice4
76,ID000011,2023-05-03 17:03:49,C#2,voice4
77,ID000011,2023-05-03 17:03:51,A2,voice4
78,ID000011,2023-05-03 17:03:53,D2,voice4
79,ID000011,2023-05-03 17:03:55,F#2,voice4
80,ID000011,2023-05-03 17:04:03,C#2,voice4
81,ID000011,2023-05-03 17:04:11,C#2,voice4
82,ID000011,2023-05-03 17:04:19,F2,voice4
83,ID000011,2023-05-03 17:04:27,E-2,voice4
84,ID000011,2023-05-03 17:04:35,E-2,voice4
85,ID000011,2023-05-03 17:04:43,rest,voice4
86,ID000012,2023-05-03 17:04:03,C2,voice1
87,ID000012,2023-05-03 17:04:35,E-2,voice1
88,ID000012,2023-05-03 17:05:07,C#2,voice1
89,ID000012,2023-05-03 17:05:39,C#2,voice1
90,ID000012,2023-05-03 17:06:11,B-1,voice1
91,ID000013,2023-05-03 17:04:51,C2,voice2
92,ID000013,2023-05-03 17:04:59,C2,voice2
93,ID000013,2023-05-03 17:05:07,D2,voice2
94,ID000013,2023-05-03 17:05:15,C2,voice2
95,ID000013,2023-05-03 17:05:39,B-1,voice2
96,ID000014,2023-05-03 17:04:43,C2,voice3
97,ID000014,2023-05-03 17:04:51,C2,voice3
98,ID000014,2023-05-03 17:04:59,D2,voice3
99,ID000014,2023-05-03 17:05:07,E2,voice3
100,ID000014,2023-05-03 17:05:15,A2,voice3
101,ID000014,2023-05-03 17:05:31,G2,voice3
102,ID000015,2023-05-03 17:04:51,C2,voice4
103,ID000015,2023-05-03 17:04:59,C2,voice4
104,ID000015,2023-05-03 17:05:07,E2,voice4
105,ID000015,2023-05-03 17:05:15,F2,voice4
106,ID000015,2023-05-03 17:05:23,A2,voice4
107,ID000015,2023-05-03 17:05:39,G2,voice4
108,ID000015,2023-05-03 17:05:47,E2,voice4
109,ID000015,2023-05-03 17:05:55,rest,voice4
110,ID000016,2023-05-03 17:06:19,C2,voice1
111,ID000016,2023-05-03 17:06:35,C2,voice1
112,ID000016,2023-05-03 17:06:43,D2,voice1
113,ID000016,2023-05-03 17:06:51,C2,voice1
114,ID000016,2023-05-03 17:07:07,B-1,voice1
115,ID000017,2023-05-03 17:05:47,C2,voice2
116,ID000017,2023-05-03 17:06:19,rest,voice2
117,ID000017,2023-05-03 17:06:27,C2,voice2
118,ID000017,2023-05-03 17:06:35,C2,voice2
119,ID000017,2023-05-03 17:06:43,B-1,voice2
120,ID000017,2023-05-03 17:06:51,C2,voice2
121,ID000017,2023-05-03 17:06:55,G#1,voice2
122,ID000017,2023-05-03 17:06:59,G#1,voice2
123,ID000017,2023-05-03 17:07:23,G#1,voice2
124,ID000018,2023-05-03 17:05:35,C2,voice3
125,ID000018,2023-05-03 17:05:39,C1,voice3
126,ID000018,2023-05-03 17:05:47,C2,voice3
127,ID000018,2023-05-03 17:05:55,C2,voice3
128,ID000018,2023-05-03 17:06:03,D2,voice3
129,ID000018,2023-05-03 17:06:11,C2,voice3
130,ID000018,2023-05-03 17:06:15,F2,voice3
131,ID000018,2023-05-03 17:06:19,F2,voice3
132,ID000018,2023-05-03 17:06:27,F2,voice3
133,ID000019,2023-05-03 17:06:03,C2,voice4
134,ID000019,2023-05-03 17:06:11,C2,voice4
135,ID000019,2023-05-03 17:06:19,C2,voice4
136,ID000019,2023-05-03 17:06:27,D2,voice4
137,ID000019,2023-05-03 17:06:35,C2,voice4
138,ID000019,2023-05-03 17:06:51,A1,voice4
139,ID000019,2023-05-03 17:07:07,rest,voice4
140,ID000020,2023-05-03 17:07:15,C2,voice1
141,ID000020,2023-05-03 17:07:23,C2,voice1
142,ID000020,2023-05-03 17:07:31,C2,voice1
143,ID000020,2023-05-03 17:07:39,D2,voice1
144,ID000020,2023-05-03 17:07:43,E2,voice1
145,ID000020,2023-05-03 17:07:47,E2,voice1
146,ID000020,2023-05-03 17:08:03,F2,voice1
147,ID000020,2023-05-03 17:08:11,rest,voice1
148,ID000020,2023-05-03 17:08:43,rest,voice1
149,ID000020,2023-05-03 17:09:15,rest,voice1
150,ID000020,2023-05-03 17:09:31,rest,voice1
151,ID000020,2023-05-03 17:09:39,rest,voice1
